"Positions for account Joint Tenant ...782 as of 09:24 PM ET, 2026/02/09"

"Symbol","Description","Qty (Quantity)","Price","Mkt Val (Market Value)","Cost/Share","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","% of Acct (% of Account)","Last Div (Last Dividend)","Security Type",
"PHM","PULTEGROUP INC","19","132.37","$2,515.03","$104.00","$1,976.00","$539.03","27.28%","2.01%","0.26","Equity",
"PRU","PRUDENTIAL FINL INC","9","102.20","$919.80","$114.09","$1,026.81","-$107.01","-10.42%","0.73%","1.40","Equity",
"SIRI","SIRIUSXM HLDGS INC EQUITCLASS EQUITY","78","20.95","$1,634.10","$25.50","$1,989.00","-$354.90","-17.84%","1.31%","0.27","Equity",
"SMG","SCOTTS MIRACLE-GRO CO","14","66.62","$932.68","$75.00","$1,050.00","-$117.32","-11.17%","0.74%","0.66","Equity",
"SOBO","SOUTH BOW CORP F","2","29.16","$58.32","$19.68","$39.35","$18.97","48.21%","0.05%","0.50","Equity",
"SSUMY","SUMITOMO CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS","95","41.15","$3,909.25","$21.09","$2,003.90","$1,905.35","95.08%","3.12%","N/A","Equity",
"SYF","SYNCHRONY FINL","47","73.95","$3,475.65","$42.68","$2,006.00","$1,469.65","73.26%","2.78%","0.30","Equity",
"T","AT&T INC","43","27.11","$1,165.73","$17.98","$773.23","$392.50","50.76%","0.93%","0.2775","Equity",
"TOL","TOLL BROS INC","10","152.26","$1,522.60","$95.00","$950.00","$572.60","60.27%","1.22%","0.25","Equity",
"TRP","TC ENERGY CORP F","12","60.28","$723.36","$39.79","$477.42","$245.94","51.51%","0.58%","0.6212","Equity",
"TSN","TYSON FOODS INC CLASS CLASS A","29","65.40","$1,896.60","$68.06","$1,973.80","-$77.20","-3.91%","1.51%","0.51","Equity",
"UBS","UBS GROUP AG F","10","44.43","$444.30","$197.67","$1,976.73","-$1,532.43","-77.52%","0.35%","0.2925","Equity",
"WEN","WENDYS CO CLASS CLASS A","100","7.81","$781.00","$10.00","$1,000.00","-$219.00","-21.9%","0.62%","0.14","Equity",
"WFC","WELLS FARGO & CO","20","94.61","$1,892.20","$28.38","$567.50","$1,324.70","233.43%","1.51%","0.45","Equity",
"Cash & Cash Investments","--","--","--","$13,744.88","--","--","--","--","10.98%","--","Cash and Money Market",
"Account Total","","--","--","$125,196.13","--","$68,659.63","$42,791.62","62.32%","--","--","--",
