Date,Amount
2023/11/18,73381.9
2023/11/19,73381.9
2023/11/20,74006.18
2023/11/21,74143.8
2023/11/22,73780.13
2023/11/23,73780.13
2023/11/24,74041.39
2023/11/25,74041.39
2023/11/26,74041.39
2023/11/27,74442.62
2023/11/28,74116.89
2023/11/29,74147.3
2023/11/30,74274.5
2023/12/1,74755.49
2023/12/2,74755.49
2023/12/3,74755.49
2023/12/4,75894
2023/12/5,76246.6
2023/12/6,75985.69
2023/12/7,76279.69
2023/12/8,76579.12
2023/12/9,76579.12
2023/12/10,76579.12
2023/12/11,77049.28
2023/12/12,77072.98
2023/12/13,77196.74
2023/12/14,78494.17
2023/12/15,79136.37
2023/12/16,79136.37
2023/12/17,79136.37
2023/12/18,78722.41
2023/12/19,78785.13
2023/12/20,79650.95
2023/12/21,78638.67
2023/12/22,79508.99
2023/12/23,79508.99
2023/12/24,79508.99
2023/12/25,79508.99
2023/12/26,79705.29
2023/12/27,79932.66
2023/12/28,80113.28
2023/12/29,80014.02
2023/12/30,80014.02
2023/12/31,80014.02
2024/1/1,80014.02
2024/1/2,79903.08
2024/1/3,79724.11
2024/1/4,78723.57
2024/1/5,79236.33
2024/1/6,79236.33
2024/1/7,79236.33
2024/1/8,79891.17
2024/1/9,80155.17
2024/1/10,79450.09
2024/1/11,79590.03
2024/1/12,79223.46
2024/1/13,79223.46
2024/1/14,79223.46
2024/1/15,79223.46
2024/1/16,79081.39
2024/1/17,78612.6
2024/1/18,78129.59
2024/1/19,78579.94
2024/1/20,78579.94
2024/1/21,78579.94
2024/1/22,79084.98
2024/1/23,79846.65
2024/1/24,79396.32
2024/1/25,79432.69
2024/1/26,79729.8
2024/1/27,79729.8
2024/1/28,79729.8
2024/1/29,79850.91
2024/1/30,80019.46
2024/1/31,80164.77
2024/2/1,79590.17
2024/2/2,80082.5
2024/2/3,80082.5
2024/2/4,80082.5
2024/2/5,80014.89
2024/2/6,79080.93
2024/2/7,79407.51
2024/2/8,79881.54
2024/2/9,79366.58
2024/2/10,79366.58
2024/2/11,79366.58
2024/2/12,79164.46
2024/2/13,79939.91
2024/2/14,79000.51
2024/2/15,79286.17
2024/2/16,80316.19
2024/2/17,80316.19
2024/2/18,80316.19
2024/2/19,80316.19
2024/2/20,80091.69
2024/2/21,80081.38
2024/2/22,80259.57
2024/2/23,80790.99
2024/2/24,80790.99
2024/2/25,80790.99
2024/2/26,80818.01
2024/2/27,80483.71
2024/2/28,81417.69
2024/2/29,81709.46
2024/3/1,81846.59
2024/3/2,81846.59
2024/3/3,81846.59
2024/3/4,82312.13
2024/3/5,82299.97
2024/3/6,82387.76
2024/3/7,82797.56
2024/3/8,83507.15
2024/3/9,83507.15
2024/3/10,83507.15
2024/3/11,83521.7
2024/3/12,83302.98
2024/3/13,83169.82
2024/3/14,83477.69
2024/3/15,82996.47
2024/3/16,82996.47
2024/3/17,82996.47
2024/3/18,83375.2
2024/3/19,83350.17
2024/3/20,83835.94
2024/3/21,84921.59
2024/3/22,85154.48
2024/3/23,85154.48
2024/3/24,85154.48
2024/3/25,84633.19
2024/3/26,84520.31
2024/3/27,84676.4
2024/3/28,85530.82
2024/3/29,85530.82
2024/3/30,85530.82
2024/3/31,85530.82
2024/4/1,85699.75
2024/4/2,85052.83
2024/4/3,84512.52
2024/4/4,84656.41
2024/4/5,83901.99
2024/4/6,83901.99
